Winning Numbers,Month,Day,Hour,Minute
"[2, 12, 13, 14, 19, 23, 24, 25, 26, 29, 33, 39, 49, 52, 58, 62, 72, 76, 78, 80]",6,8,9,15
"[2, 3, 14, 15, 17, 20, 28, 29, 38, 40, 43, 44, 47, 53, 56, 57, 62, 69, 71, 75]",6,8,9,20
"[2, 4, 11, 12, 15, 17, 25, 29, 37, 38, 45, 54, 57, 60, 64, 67, 68, 70, 72, 76]",6,8,9,25
"[9, 10, 11, 18, 26, 27, 29, 32, 34, 37, 40, 43, 54, 55, 57, 61, 62, 70, 71, 72]",6,8,9,30
"[2, 3, 6, 7, 17, 28, 30, 34, 36, 38, 40, 41, 50, 58, 62, 69, 72, 73, 78, 80]",6,8,9,35
"[2, 7, 11, 15, 16, 17, 18, 26, 27, 29, 33, 35, 39, 41, 42, 51, 60, 62, 69, 74]",6,8,9,40
"[2, 4, 5, 12, 13, 16, 19, 21, 22, 35, 37, 38, 44, 47, 49, 55, 65, 69, 70, 77]",6,8,9,45
"[4, 5, 9, 13, 15, 19, 24, 27, 30, 32, 37, 40, 41, 49, 50, 51, 53, 55, 64, 73]",6,8,9,50
"[3, 8, 10, 11, 13, 14, 22, 24, 35, 37, 50, 51, 55, 65, 70, 72, 74, 75, 79, 80]",6,8,9,55
"[1, 4, 5, 10, 11, 23, 32, 34, 36, 38, 42, 43, 46, 54, 62, 63, 64, 70, 72, 75]",6,8,10,0
"[1, 2, 4, 11, 12, 20, 26, 28, 31, 36, 39, 40, 41, 42, 43, 44, 50, 53, 68, 69]",6,8,10,5
"[4, 5, 17, 19, 28, 32, 38, 41, 43, 46, 50, 57, 58, 61, 63, 72, 73, 77, 78, 79]",6,8,10,10
"[2, 4, 8, 14, 18, 20, 22, 30, 38, 39, 42, 48, 50, 53, 57, 63, 64, 65, 70, 77]",6,8,10,15
"[2, 7, 14, 19, 21, 31, 40, 49, 52, 55, 56, 57, 58, 62, 63, 67, 71, 77, 79, 80]",6,8,10,20
"[11, 12, 13, 16, 19, 25, 30, 32, 36, 41, 44, 46, 49, 51, 53, 54, 56, 59, 76, 80]",6,8,10,25
"[1, 4, 6, 7, 9, 10, 16, 17, 23, 27, 30, 33, 41, 42, 44, 53, 56, 58, 61, 62]",6,8,10,30
"[4, 7, 11, 15, 17, 24, 26, 27, 29, 30, 32, 45, 51, 52, 54, 62, 64, 68, 70, 77]",6,8,10,35
"[4, 9, 12, 26, 34, 35, 38, 41, 44, 46, 49, 52, 55, 59, 62, 63, 70, 74, 75, 79]",6,8,10,40
"[2, 6, 7, 13, 21, 22, 24, 26, 37, 38, 40, 44, 52, 56, 61, 66, 68, 69, 73, 75]",6,8,10,45
"[5, 10, 11, 12, 22, 23, 28, 30, 51, 54, 55, 56, 61, 62, 68, 70, 74, 75, 78, 79]",6,8,10,50
"[13, 15, 18, 25, 26, 29, 33, 35, 41, 44, 46, 48, 50, 51, 58, 59, 67, 70, 76, 77]",6,8,10,55
